,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,HCLTECH,2013-04-02,2013-12-27,0.2,198.1875,312.0,0.11485335856196785
1,INFY,2013-04-02,2013-12-27,0.2,366.25,441.25,0.040955631399317405
2,ONGC,2013-04-02,2013-12-27,0.2,204.733333333333,194.933333333333,-0.00957342885053731
3,TCS,2013-04-02,2013-12-27,0.2,778.0,1053.5,0.07082262210796915
4,DLF,2013-04-02,2013-12-27,0.2,253.2,171.9,-0.06421800947867298
5,751.0,2013-12-31,2014-09-26,0.2,53.0,27.5,-0.09622641509433963
6,DIVISLAB,2013-12-31,2014-09-26,0.2,608.75,855.5,0.08106776180698153
7,MARUTI,2013-12-31,2014-09-26,0.2,1780.1,3040.3,0.14158755126116515
8,BHEL,2013-12-31,2014-09-26,0.2,120.566666666667,135.333333333333,0.024495438208458873
9,PNB,2013-12-31,2014-09-26,0.2,126.0,173.4,0.07523809523809526
10,CIPLA,2014-09-26,2015-06-22,0.2,610.9,612.0,0.00036012440661320114
11,DRREDDY,2014-09-26,2015-06-22,0.2,662.4,680.2,0.005374396135265721
12,LUPIN,2014-09-26,2015-06-22,0.2,1355.05,1830.95,0.07024095051843107
13,HINDUNILVR,2014-09-26,2015-06-22,0.2,758.15,863.9,0.02789685418452813
14,MARUTI,2014-09-26,2015-06-22,0.2,3040.3,3955.05,0.06017498273196724
15,BAJAJ-AUTO,2015-06-23,2016-03-18,0.2,2425.05,2271.0,-0.012704892682625115
16,RELIANCE,2015-06-23,2016-03-18,0.2,248.16,254.56,0.00515796260477112
17,BPCL,2015-06-23,2016-03-18,0.2,142.0,143.33,0.001873239436619736
18,M&M,2015-06-23,2016-03-18,0.2,656.5,600.05,-0.017197258187357213
19,MARUTI,2015-06-23,2016-03-18,0.2,3982.0,3640.0,-0.017177297840281266
20,CAIRN,2016-03-22,2016-12-16,0.2,159.0,260.6,0.1277987421383648
21,VEDL,2016-03-22,2016-12-16,0.2,94.5,236.2,0.2998941798941799
22,YESBANK,2016-03-22,2016-12-16,0.2,166.2,237.89,0.08626955475330927
23,AMBUJACEM,2016-03-22,2016-12-16,0.2,231.25,202.6,-0.024778378378378384
24,ULTRACEMCO,2016-03-22,2016-12-16,0.2,3235.0,3284.0,0.003029366306027821
25,HINDALCO,2016-12-16,2017-09-11,0.2,176.9,251.45,0.08428490672696437
26,ONGC,2016-12-16,2017-09-11,0.2,207.7,162.3,-0.04371689937409724
27,ADANIPORTS,2016-12-16,2017-09-11,0.2,286.0,387.5,0.07097902097902098
28,YESBANK,2016-12-16,2017-09-11,0.2,237.89,359.25,0.10203035016183953
29,SBIN,2016-12-16,2017-09-11,0.2,266.35,272.6,0.0046930730242162565
30,VEDL,2017-09-12,2018-06-08,0.2,332.0,247.2,-0.0510843373493976
31,TATASTEEL,2017-09-12,2018-06-08,0.2,67.5,59.9,-0.022518518518518525
32,AUROPHARMA,2017-09-12,2018-06-08,0.2,744.2,545.0,-0.053533996237570554
33,RELIANCE,2017-09-12,2018-06-08,0.2,411.38,483.18,0.03490689873110021
34,AMBUJACEM,2017-09-12,2018-06-08,0.2,285.5,205.3,-0.05618213660245184
35,BAJFINANCE,2018-06-12,2019-03-08,0.2,225.5,272.49,0.04167627494456763
36,M&M,2018-06-12,2019-03-08,0.2,920.0,672.0,-0.05391304347826087
37,HINDUNILVR,2018-06-12,2019-03-08,0.2,1604.8,1706.0,0.01261216350947159
38,TECHM,2018-06-12,2019-03-08,0.2,715.1,810.2,0.026597678646343176
39,BAJAJFINSV,2018-06-12,2019-03-08,0.2,612.0,657.0,0.014705882352941176
40,YESBANK,2019-03-08,2019-12-02,0.2,231.7,69.0,-0.14044022442813983
41,AXISBANK,2019-03-08,2019-12-02,0.2,732.0,739.25,0.001980874316939891
42,TECHM,2019-03-08,2019-12-02,0.2,810.2,758.1,-0.012861021969883986
43,BPCL,2019-03-08,2019-12-02,0.2,185.45,254.03,0.07396063629010517
44,TATAMOTORS,2019-03-08,2019-12-02,0.2,187.8,160.95,-0.02859424920127798
45,BHARTIARTL,2019-12-03,2020-08-28,0.2,462.8,512.1,0.02130509939498704
46,TATAMOTORS,2019-12-03,2020-08-28,0.2,162.95,144.15,-0.023074562749309586
47,BPCL,2019-12-03,2020-08-28,0.2,251.0,207.25,-0.0348605577689243
48,RELIANCE,2019-12-03,2020-08-28,0.2,796.38,1060.0,0.06620457570506542
49,SBILIFE,2019-12-03,2020-08-28,0.2,946.1,846.0,-0.021160553852658286
50,TATAMOTORS,2020-09-01,2021-05-28,0.2,143.4,322.65,0.24999999999999994
51,TECHM,2020-09-01,2021-05-28,0.2,739.0,1020.0,0.07604871447902571
52,INDUSINDBK,2020-09-01,2021-05-28,0.2,638.1,1014.5,0.1179752389907538
53,WIPRO,2020-09-01,2021-05-28,0.2,135.5,269.5,0.1977859778597786
54,BAJFINANCE,2020-09-01,2021-05-28,0.2,351.7,572.4,0.12550469149843618
55,JSWSTEEL,2021-05-28,2022-02-21,0.2,697.8,631.9,-0.018887933505302375
56,TATASTEEL,2021-05-28,2022-02-21,0.2,113.1,118.8,0.010079575596816982
57,UPL,2021-05-28,2022-02-21,0.2,818.45,724.9,-0.022860284684464553
58,WIPRO,2021-05-28,2022-02-21,0.2,269.5,277.88,0.0062189239332096444
59,ASIANPAINT,2021-05-28,2022-02-21,0.2,2958.15,3235.0,0.018717779693389443
60,AXISBANK,2022-02-22,2022-11-18,0.2,766.1,859.3,0.024331027281033788
61,HINDALCO,2022-02-22,2022-11-18,0.2,501.9,440.5,-0.02446702530384538
62,ONGC,2022-02-22,2022-11-18,0.2,166.5,143.15,-0.028048048048048044
63,MARUTI,2022-02-22,2022-11-18,0.2,8495.0,9010.0,0.012124779281930547
64,SUNPHARMA,2022-02-22,2022-11-18,0.2,836.0,1015.25,0.042882775119617224
65,ADANIENT,2022-11-22,2023-08-18,0.2,4001.85,2477.5,-0.07618226570211277
66,BHARTIARTL,2022-11-22,2023-08-18,0.2,853.4,856.7,0.0007733770799156477
67,AXISBANK,2022-11-22,2023-08-18,0.2,874.95,934.85,0.013692210983484766
68,SBIN,2022-11-22,2023-08-18,0.2,598.15,570.0,-0.00941235476051157
69,SUNPHARMA,2022-11-22,2023-08-18,0.2,1006.15,1141.0,0.02680514833772301
70,CIPLA,2023-08-18,2024-05-13,0.2,1239.0,1371.0,0.021307506053268768
71,DRREDDY,2023-08-18,2024-05-13,0.2,1179.9,1184.2,0.0007288753284176549
72,NTPC,2023-08-18,2024-05-13,0.2,215.8,355.5,0.1294717330861909
73,SUNPHARMA,2023-08-18,2024-05-13,0.2,1141.0,1513.0,0.0652059596844873
74,ADANIENT,2023-08-18,2024-05-13,0.2,2477.5,2803.0,0.026276488395560044
75,M&M,2024-05-14,2025-02-07,0.2,2175.0,3168.0,0.09131034482758622
76,HINDALCO,2024-05-14,2025-02-07,0.2,644.35,595.45,-0.01517808644370295
77,EICHERMOT,2024-05-14,2025-02-07,0.2,4667.4,5368.65,0.030048849466512408
78,TATASTEEL,2024-05-14,2025-02-07,0.2,164.1,133.3,-0.03753808653260205
79,MARUTI,2024-05-14,2025-02-07,0.2,12673.85,13060.0,0.006093649522441873
80,BAJFINANCE,2025-02-11,2025-11-07,0.2,829.9,1039.0,0.05039161344740331
81,MARUTI,2025-02-11,2025-11-07,0.2,12899.95,15459.0,0.03967534757886657
82,KOTAKBANK,2025-02-11,2025-11-07,0.2,1964.6,2078.7,0.011615596050086524
83,EICHERMOT,2025-02-11,2025-11-07,0.2,5138.85,6806.5,0.06490362629771251
84,WIPRO,2025-02-11,2025-11-07,0.2,319.5,238.7,-0.05057902973395932
