,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,AJANTPHARM,2013-04-02,2013-07-01,0.09259259259259262,115.377777777778,157.315555555556,0.033655766706614285
1,APLLTD,2013-04-02,2013-07-01,0.0888888888888889,109.75,132.9,0.018749683624398897
2,LAOPALA,2013-04-02,2013-07-01,0.0851851851851852,336.0,367.7,0.008036816578483244
3,BSLIMITED,2013-04-02,2013-07-01,0.08148148148148149,331.0,289.0,-0.010339039946290702
4,SYMPHONY,2013-04-02,2013-07-01,0.07777777777777778,184.0,154.25,-0.01257548309178744
5,GEOMETRIC,2013-04-02,2013-07-01,0.07407407407407408,104.2,101.35,-0.0020260183407976176
6,ESSDEE,2013-04-02,2013-07-01,0.07037037037037037,333.0,510.4,0.037488599710821933
7,HEXAWARE,2013-04-02,2013-07-01,0.06666666666666667,87.0,87.0,0.0
8,POLYMED,2013-04-02,2013-07-01,0.06296296296296296,460.0,535.0,0.010265700483091786
9,WIPRO,2013-04-02,2013-07-01,0.05925925925925925,81.02,65.6,-0.011278422337420116
10,SOLARINDS,2013-04-02,2013-07-01,0.05555555555555554,205.0,187.2,-0.004823848238482387
11,DBCORP,2013-04-02,2013-07-01,0.05185185185185183,235.05,235.15,2.2059924208401992e-05
12,NATCOPHARM,2013-04-02,2013-07-01,0.04814814814814812,89.4,89.03,-0.0001992708592261188
13,VADILALIND,2013-04-02,2013-07-01,0.04444444444444441,182.0,153.4,-0.006984126984126978
14,SHALPAINTS,2013-04-02,2013-07-01,0.0407407407407407,115.7,93.5,-0.00781715163737635
15,SHRENUJ,2013-07-02,2013-09-30,0.09259259259259262,110.0,106.0,-0.0033670033670033677
16,NDTV,2013-07-02,2013-09-30,0.0888888888888889,94.25,83.0,-0.01061007957559682
17,CIEINDIA,2013-07-02,2013-09-30,0.0851851851851852,59.6,66.5,0.009862043251304995
18,ESSDEE,2013-07-02,2013-09-30,0.08148148148148149,532.85,572.0,0.0059866754246035445
19,REPCOHOME,2013-07-02,2013-09-30,0.07777777777777778,250.0,243.0,-0.002177777777777778
20,ANDHRAPAP,2013-07-02,2013-09-30,0.07407407407407408,273.35,298.0,0.006679809496710899
21,WHEELS,2013-07-02,2013-09-30,0.07037037037037037,407.5,339.35,-0.011768688934333103
22,AJANTPHARM,2013-07-02,2013-09-30,0.06666666666666667,161.146666666667,191.733333333333,0.01265375917038969
23,KSCL,2013-07-02,2013-09-30,0.06296296296296296,326.0,290.24,-0.0069066121336059955
24,APLLTD,2013-07-02,2013-09-30,0.05925925925925925,135.8,140.0,0.0018327605956471882
25,BAYERCROP,2013-07-02,2013-09-30,0.05185185185185183,1434.0,1540.3,0.0038436902732579127
26,TVTODAY,2013-07-02,2013-09-30,0.04814814814814812,75.5,75.0,-0.0003188619082658816
27,RANEHOLDIN,2013-07-02,2013-09-30,0.04444444444444441,182.9,145.15,-0.009173197254115781
28,NESTLEIND,2013-07-02,2013-09-30,0.0407407407407407,256.35,254.06,-0.0003639410817097602
29,STCINDIA,2013-10-01,2013-12-30,0.09259259259259262,138.15,170.35,0.021581480141016872
30,HEXAWARE,2013-10-01,2013-12-30,0.0888888888888889,128.3,133.5,0.0036026673594873053
31,NATCOPHARM,2013-10-01,2013-12-30,0.0851851851851852,124.0,162.51,0.026455495818399042
32,JUSTDIAL,2013-10-01,2013-12-30,0.08148148148148149,835.0,1393.0,0.05445109780439122
33,GMBREW,2013-10-01,2013-12-30,0.07777777777777778,81.6,108.4,0.025544662309368204
34,AJANTPHARM,2013-10-01,2013-12-30,0.07407407407407408,194.853333333333,259.733333333333,0.0246643249243496
35,INOXLEISUR,2013-10-01,2013-12-30,0.07037037037037037,79.0,111.25,0.028727144866385373
36,GTOFFSHORE,2013-10-01,2013-12-30,0.06666666666666667,52.3,72.7,0.026003824091778212
37,CEATLTD,2013-10-01,2013-12-30,0.06296296296296296,122.95,308.45,0.09499495428734955
38,TATAMTRDVR,2013-10-01,2013-12-30,0.05925925925925925,164.95,194.7,0.010687862764249547
39,TI,2013-10-01,2013-12-30,0.05555555555555554,56.3,59.4,0.003059009275705546
40,GOLD1,2013-10-01,2013-12-30,0.05185185185185183,2835.0,2780.35,-0.0009995427526291736
41,CIEINDIA,2013-10-01,2013-12-30,0.04814814814814812,66.95,46.55,-0.014670981661272918
42,SETFGOLD,2013-10-01,2013-12-30,0.04444444444444441,2880.0,2810.05,-0.0010794753086419717
43,CAIRN,2013-10-01,2013-12-30,0.0407407407407407,319.3,325.0,0.000727285381215852
44,CEATLTD,2013-12-31,2014-03-31,0.09259259259259262,309.5,443.0,0.03993896966433316
45,INDOCO,2013-12-31,2014-03-31,0.0888888888888889,138.0,134.0,-0.0025764895330112727
46,WELCORP,2013-12-31,2014-03-31,0.0851851851851852,63.8,67.0,0.004272611169162898
47,SUVEN,2013-12-31,2014-03-31,0.08148148148148149,74.05,71.8,-0.002475804636506865
48,ASTRAMICRO,2013-12-31,2014-03-31,0.07777777777777778,61.65,49.6,-0.015202306929800844
49,JUBLPHARMA,2013-12-31,2014-03-31,0.07407407407407408,133.5,163.7,0.016756831738105143
50,MPSLTD,2013-12-31,2014-03-31,0.07037037037037037,232.0,363.8,0.039977650063856965
51,JUSTDIAL,2013-12-31,2014-03-31,0.06666666666666667,1428.0,1642.95,0.010035014005602243
52,GANESHHOUC,2013-12-31,2014-03-31,0.06296296296296296,84.3,80.9,-0.002539431483678215
53,HIMATSEIDE,2013-12-31,2014-03-31,0.05925925925925925,53.9,56.8,0.0031883460454889003
