,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,AJANTPHARM,2014-01-02,2014-04-01,0.04,253.266666666667,269.866666666667,0.0026217425638325876
1,CEATLTD,2014-01-02,2014-04-01,0.04,341.0,440.2,0.011636363636363636
2,APLLTD,2014-01-02,2014-04-01,0.04,215.95,287.5,0.01325306783977773
3,SUVEN,2014-01-02,2014-04-01,0.04,72.75,71.8,-0.0005223367697594518
4,PIIND,2014-01-02,2014-04-01,0.04,253.95,275.0,0.0033156133097066373
5,INDOCO,2014-01-02,2014-04-01,0.04,134.0,140.0,0.001791044776119403
6,VSTTILLERS,2014-01-02,2014-04-01,0.04,683.2,930.0,0.01444964871194379
7,NATCOPHARM,2014-01-02,2014-04-01,0.04,163.1,156.2,-0.00169221336603311
8,SASKEN,2014-01-02,2014-04-01,0.04,191.65,185.0,-0.0013879467779806952
9,SHRENUJ,2014-01-02,2014-04-01,0.04,101.0,91.3,-0.003841584158415843
10,LTFOODS,2014-01-02,2014-04-01,0.04,88.8,91.2,0.0010810810810810837
11,DHANUKA,2014-01-02,2014-04-01,0.04,202.25,257.45,0.01091718170580964
12,HEXAWARE,2014-01-02,2014-04-01,0.04,132.9,150.4,0.00526711813393529
13,ASTRAMICRO,2014-01-02,2014-04-01,0.04,61.5,51.4,-0.006569105691056912
14,RELAXO,2014-01-02,2014-04-01,0.04,58.5,74.5,0.01094017094017094
15,TVTODAY,2014-01-02,2014-04-01,0.04,116.3,119.2,0.000997420464316425
16,INOXLEISUR,2014-01-02,2014-04-01,0.04,114.9,115.0,3.4812880765881396e-05
17,MANAKSIA,2014-01-02,2014-04-01,0.04,74.4,68.5,-0.003172043010752691
18,BAYERCROP,2014-01-02,2014-04-01,0.04,1756.25,1505.0,-0.0057224199288256235
19,SPARC,2014-01-02,2014-04-01,0.04,161.2,145.0,-0.004019851116625308
20,GREENPLY,2014-01-02,2014-04-01,0.04,50.8,49.1866666666667,-0.0012703412073490506
21,JYOTHYLAB,2014-01-02,2014-04-01,0.04,97.7,103.75,0.0024769703172978492
22,TCI,2014-01-02,2014-04-01,0.04,90.9,111.4,0.009020902090209022
23,GEOMETRIC,2014-01-02,2014-04-01,0.04,104.65,116.0,0.004338270425226945
24,EXPLEOSOL,2014-04-02,2014-06-30,0.04,347.25,444.4,0.01119078473722102
25,CEATLTD,2014-04-02,2014-06-30,0.04,440.1,657.55,0.019763690070438527
26,NUCLEUS,2014-04-02,2014-06-30,0.04,222.0,206.45,-0.002801801801801804
27,SUMMITSEC,2014-04-02,2014-06-30,0.04,196.0,261.8,0.013428571428571432
28,IGARASHI,2014-04-02,2014-06-30,0.04,171.85,173.4,0.0003607797497817891
29,SUVEN,2014-04-02,2014-06-30,0.04,74.5,96.0,0.011543624161073825
30,VINATIORGA,2014-04-02,2014-06-30,0.04,149.275,169.0,0.005285546809579634
31,RELAXO,2014-04-02,2014-06-30,0.04,75.0,96.9875,0.011726666666666666
32,GMBREW,2014-04-02,2014-06-30,0.04,164.0,128.4,-0.008682926829268292
33,APLLTD,2014-04-02,2014-06-30,0.04,281.15,272.4,-0.0012448870709585633
34,AJANTPHARM,2014-04-02,2014-06-30,0.04,270.506666666667,406.666666666667,0.020134069400630894
35,FIEMIND,2014-04-02,2014-06-30,0.04,205.5,269.75,0.012506082725060827
36,ACCELYA,2014-04-02,2014-06-30,0.04,753.0,686.25,-0.003545816733067729
37,RATNAMANI,2014-04-02,2014-06-30,0.04,166.666666666667,255.8,0.021391999999999883
38,DHANUKA,2014-04-02,2014-06-30,0.04,254.9,407.0,0.023868183601412317
39,TCI,2014-04-02,2014-06-30,0.04,113.75,178.4,0.022734065934065937
40,REPCOHOME,2014-04-02,2014-06-30,0.04,334.15,461.5,0.015244650606015268
41,SYMPHONY,2014-04-02,2014-06-30,0.04,355.95,502.35,0.016451748841129377
42,CERA,2014-04-02,2014-06-30,0.04,872.0,1275.0,0.018486238532110094
43,CCL,2014-04-02,2014-06-30,0.04,54.7,71.2,0.01206581352833638
44,SELAN,2014-04-02,2014-06-30,0.04,512.6,590.5,0.0060788138899726864
45,TVTODAY,2014-04-02,2014-06-30,0.04,125.05,130.95,0.0018872451019592135
46,SEAMECLTD,2014-04-02,2014-06-30,0.04,99.0,120.0,0.008484848484848484
47,LGBBROSLTD,2014-07-02,2014-09-29,0.04,898.8,650.15,-0.01106586559857588
48,EXPLEOSOL,2014-07-02,2014-09-29,0.04,469.0,586.8,0.010046908315565027
49,SUMMITSEC,2014-07-02,2014-09-29,0.04,273.0,272.9,-1.4652014652017985e-05
50,IFGLREFRAC,2014-07-02,2014-09-29,0.04,182.0,185.0,0.0006593406593406593
