,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,EICHERMOT,2013-04-02,2013-04-16,0.06666666666666667,253.0,270.71,0.004666666666666661
1,CYIENT,2013-04-02,2013-04-16,0.06666666666666667,168.15,168.25,3.9647140449992784e-05
2,TCS,2013-04-02,2013-04-16,0.06666666666666667,778.0,735.0,-0.003684661525278492
3,GLAXO,2013-04-02,2013-04-16,0.06666666666666667,1115.0,1097.5,-0.0010463378176382662
4,GMDCLTD,2013-04-02,2013-04-16,0.06666666666666667,175.0,150.9,-0.009180952380952378
5,INFY,2013-04-02,2013-04-16,0.06666666666666667,366.25,289.875,-0.013902161547212742
6,SUNPHARMA,2013-04-02,2013-04-16,0.06666666666666667,406.125,435.0,0.004739919975377039
7,MINDTREE,2013-04-02,2013-04-16,0.06666666666666667,226.0,212.125,-0.004092920353982301
8,GODREJCP,2013-04-02,2013-04-16,0.06666666666666667,259.0,260.0,0.0002574002574002574
9,BOSCHLTD,2013-04-02,2013-04-16,0.06666666666666667,8852.0,8580.0,-0.0020485012803133002
10,BAJAJHLDNG,2013-04-02,2013-04-16,0.06666666666666667,927.9,865.0,-0.004519165139921685
11,PEL,2013-04-02,2013-04-16,0.06666666666666667,337.27777777777777,319.3333333333333,-0.0035469170372810655
12,GESHIP,2013-04-02,2013-04-16,0.06666666666666667,222.0,217.4,-0.0013813813813813797
13,GSKCONS,2013-04-02,2013-04-16,0.06666666666666667,4247.95,3938.8,-0.004851752021563336
14,COFORGE,2013-04-02,2013-04-16,0.06666666666666667,55.4,55.36,-4.8134777376653606e-05
15,CYIENT,2013-04-17,2013-05-02,0.06666666666666667,169.0,176.5,0.0029585798816568047
16,PEL,2013-04-17,2013-05-02,0.06666666666666667,319.44444444444446,312.77777777777777,-0.0013913043478260907
17,BAJAJHLDNG,2013-04-17,2013-05-02,0.06666666666666667,890.0,894.95,0.00037078651685393596
18,GESHIP,2013-04-17,2013-05-02,0.06666666666666667,220.45,214.05,-0.0019354350948816747
19,BOSCHLTD,2013-04-17,2013-05-02,0.06666666666666667,8675.05,8750.0,0.000575981310386305
20,GODREJCP,2013-04-17,2013-05-02,0.06666666666666667,255.333333333333,277.6,0.005813751087902623
21,COFORGE,2013-04-17,2013-05-02,0.06666666666666667,54.4,52.0,-0.0029411764705882335
22,GSKCONS,2013-04-17,2013-05-02,0.06666666666666667,3873.0,4067.0,0.0033393579481883124
23,GLAXO,2013-04-17,2013-05-02,0.06666666666666667,1100.125,1131.0,0.0018709995076317083
24,TCS,2013-04-17,2013-05-02,0.06666666666666667,747.5,686.75,-0.005418060200668896
25,EICHERMOT,2013-04-17,2013-05-02,0.06666666666666667,276.695,302.6,0.006241529481920533
26,RUCHISOYA,2013-04-17,2013-05-02,0.06666666666666667,68.4,67.25,-0.0011208576998050738
27,SUNPHARMA,2013-04-17,2013-05-02,0.06666666666666667,443.15,473.675,0.004592124562789129
28,COLPAL,2013-04-17,2013-05-02,0.06666666666666667,673.5,729.5,0.005543182380598862
29,SHREECEM,2013-04-17,2013-05-02,0.06666666666666667,4172.3,4548.0,0.006003083830660943
30,PEL,2013-05-03,2013-05-17,0.06666666666666667,306.1111111111111,325.0,0.004113732607380526
31,CYIENT,2013-05-03,2013-05-17,0.06666666666666667,173.3,169.05,-0.0016349297941911905
32,COFORGE,2013-05-03,2013-05-17,0.06666666666666667,51.6,52.0,0.000516795865633073
33,GLAXO,2013-05-03,2013-05-17,0.06666666666666667,1135.5,1122.0,-0.0007926023778071334
34,BAJAJHLDNG,2013-05-03,2013-05-17,0.06666666666666667,909.5,903.05,-0.00047278724573942063
35,BOSCHLTD,2013-05-03,2013-05-17,0.06666666666666667,9050.0,8982.0,-0.0005009208103130755
36,TCS,2013-05-03,2013-05-17,0.06666666666666667,713.0,727.5,0.0013557737260402056
37,GSKCONS,2013-05-03,2013-05-17,0.06666666666666667,4148.9,4780.0,0.010140840544079963
38,MINDTREE,2013-05-03,2013-05-17,0.06666666666666667,206.25,211.625,0.0017373737373737373
39,IPCALAB,2013-05-03,2013-05-17,0.06666666666666667,267.5,286.775,0.004803738317757003
40,SUNPHARMA,2013-05-03,2013-05-17,0.06666666666666667,485.4,485.05,-4.807032001098282e-05
41,RAMCOCEM,2013-05-03,2013-05-17,0.06666666666666667,247.9,247.85,-1.3446282103001577e-05
42,DRREDDY,2013-05-03,2013-05-17,0.06666666666666667,401.0,425.36,0.0040498753117207
43,VIDEOIND,2013-05-03,2013-05-17,0.06666666666666667,220.55,215.0,-0.0016776241215143992
44,ARE&M,2013-05-03,2013-05-17,0.06666666666666667,255.0,249.75,-0.001372549019607843
45,CYIENT,2013-05-17,2013-05-31,0.06666666666666667,169.05,167.9,-0.0004535147392290272
46,COFORGE,2013-05-17,2013-05-31,0.06666666666666667,52.0,52.41,0.0005256410256410213
47,PEL,2013-05-17,2013-05-31,0.06666666666666667,325.0,309.5,-0.003179487179487179
