,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,GLAXO,2013-04-02,2013-04-16,0.06666666666666667,1115.0,1097.5,-0.0010463378176382662
1,BOSCHLTD,2013-04-02,2013-04-16,0.06666666666666667,8852.0,8580.0,-0.0020485012803133002
2,LUPIN,2013-04-02,2013-04-16,0.06666666666666667,632.15,658.0,0.0027261462205700145
3,GRASIM,2013-04-02,2013-04-16,0.06666666666666667,562.0,554.0,-0.0009489916963226571
4,CYIENT,2013-04-02,2013-04-16,0.06666666666666667,168.15,168.25,3.9647140449992784e-05
5,GSKCONS,2013-04-02,2013-04-16,0.06666666666666667,4247.95,3938.8,-0.004851752021563336
6,ITC,2013-04-02,2013-04-16,0.06666666666666667,204.4,199.9,-0.0014677103718199608
7,BAJAJHLDNG,2013-04-02,2013-04-16,0.06666666666666667,927.9,865.0,-0.004519165139921685
8,TCS,2013-04-02,2013-04-16,0.06666666666666667,778.0,735.0,-0.003684661525278492
9,DRREDDY,2013-04-02,2013-04-16,0.06666666666666667,365.0,370.67,0.0010356164383561672
10,KOTAKBANK,2013-04-02,2013-04-16,0.06666666666666667,327.475,319.35,-0.0016540702852635058
11,SUNPHARMA,2013-04-02,2013-04-16,0.06666666666666667,406.125,435.0,0.004739919975377039
12,HDFCBANK,2013-04-02,2013-04-16,0.06666666666666667,312.5,321.5,0.0019199999999999998
13,CONCOR,2013-04-02,2013-04-16,0.06666666666666667,352.85,358.316666666667,0.0010328594146080923
14,NTPC,2013-04-02,2013-04-16,0.06666666666666667,143.2,140.15,-0.0014199255121042753
15,GLAXO,2013-04-17,2013-05-02,0.06666666666666667,1100.125,1131.0,0.0018709995076317083
16,BAJAJHLDNG,2013-04-17,2013-05-02,0.06666666666666667,890.0,894.95,0.00037078651685393596
17,BOSCHLTD,2013-04-17,2013-05-02,0.06666666666666667,8675.05,8750.0,0.000575981310386305
18,CYIENT,2013-04-17,2013-05-02,0.06666666666666667,169.0,176.5,0.0029585798816568047
19,GRASIM,2013-04-17,2013-05-02,0.06666666666666667,567.98,584.0,0.0018803478995739263
20,TCS,2013-04-17,2013-05-02,0.06666666666666667,747.5,686.75,-0.005418060200668896
21,LUPIN,2013-04-17,2013-05-02,0.06666666666666667,661.0,700.1,0.003943519919314173
22,ITC,2013-04-17,2013-05-02,0.06666666666666667,205.333333333333,218.366666666667,0.00423160173160195
23,KOTAKBANK,2013-04-17,2013-05-02,0.06666666666666667,328.025,352.0,0.004872596092777487
24,SUNPHARMA,2013-04-17,2013-05-02,0.06666666666666667,443.15,473.675,0.004592124562789129
25,HDFCBANK,2013-04-17,2013-05-02,0.06666666666666667,332.5,342.2,0.001944862155388469
26,BRITANNIA,2013-04-17,2013-05-02,0.06666666666666667,267.5,283.5,0.003987538940809969
27,NTPC,2013-04-17,2013-05-02,0.06666666666666667,144.0,156.5,0.005787037037037038
28,TATACHEM,2013-04-17,2013-05-02,0.06666666666666667,321.0,325.0,0.0008307372793354102
29,DRREDDY,2013-04-17,2013-05-02,0.06666666666666667,383.4,404.62,0.003689793079464446
30,GLAXO,2013-05-03,2013-05-17,0.06666666666666667,1135.5,1122.0,-0.0007926023778071334
31,BOSCHLTD,2013-05-03,2013-05-17,0.06666666666666667,9050.0,8982.0,-0.0005009208103130755
32,BAJAJHLDNG,2013-05-03,2013-05-17,0.06666666666666667,909.5,903.05,-0.00047278724573942063
33,ITC,2013-05-03,2013-05-17,0.06666666666666667,222.1,225.766666666667,0.0011006053329332128
34,CYIENT,2013-05-03,2013-05-17,0.06666666666666667,173.3,169.05,-0.0016349297941911905
35,LUPIN,2013-05-03,2013-05-17,0.06666666666666667,698.05,805.9,0.010300121767781681
36,TATACHEM,2013-05-03,2013-05-17,0.06666666666666667,331.0,324.2,-0.001369587109768381
37,GRASIM,2013-05-03,2013-05-17,0.06666666666666667,585.4,620.0,0.00394032570322287
38,NTPC,2013-05-03,2013-05-17,0.06666666666666667,159.6,156.1,-0.0014619883040935674
39,ASIANPAINT,2013-05-03,2013-05-17,0.06666666666666667,472.8,486.7,0.001959954878736601
40,TCS,2013-05-03,2013-05-17,0.06666666666666667,713.0,727.5,0.0013557737260402056
41,KOTAKBANK,2013-05-03,2013-05-17,0.06666666666666667,357.95,387.0,0.005410439074358619
42,APOLLOHOSP,2013-05-03,2013-05-17,0.06666666666666667,825.5,1055.0,0.01853422168382798
43,HDFCBANK,2013-05-03,2013-05-17,0.06666666666666667,346.3,361.25,0.002878044085089997
44,BRITANNIA,2013-05-03,2013-05-17,0.06666666666666667,288.0,285.0,-0.0006944444444444445
45,BOSCHLTD,2013-05-17,2013-05-31,0.06666666666666667,8982.0,9105.0,0.0009129369850812735
46,GLAXO,2013-05-17,2013-05-31,0.06666666666666667,1122.0,1150.0,0.0016636957813428402
47,TATACHEM,2013-05-17,2013-05-31,0.06666666666666667,324.2,304.0,-0.004153814517787372
48,BAJAJHLDNG,2013-05-17,2013-05-31,0.06666666666666667,903.05,925.0,0.0016204344536109145
49,CYIENT,2013-05-17,2013-05-31,0.06666666666666667,169.05,167.9,-0.0004535147392290272
50,ZYDUSLIFE,2013-05-17,2013-05-31,0.06666666666666667,166.0,156.0,-0.004016064257028112
51,NTPC,2013-05-17,2013-05-31,0.06666666666666667,156.1,156.5,0.00017083066410420914
52,GRASIM,2013-05-17,2013-05-31,0.06666666666666667,620.0,589.0,-0.003333333333333333
53,EMAMILTD,2013-05-17,2013-05-31,0.06666666666666667,230.0,258.0,0.008115942028985508
54,BRITANNIA,2013-05-17,2013-05-31,0.06666666666666667,285.0,352.5,0.015789473684210527
55,TATAPOWER,2013-05-17,2013-05-31,0.06666666666666667,93.25,89.95,-0.002359249329758711
56,TCS,2013-05-17,2013-05-31,0.06666666666666667,727.5,745.5,0.001649484536082474
57,CONCOR,2013-05-17,2013-05-31,0.06666666666666667,381.166666666667,375.666666666667,-0.0009619588981198067
58,LUPIN,2013-05-17,2013-05-31,0.06666666666666667,805.9,767.2,-0.0032013897505893977
59,SUNPHARMA,2013-05-17,2013-05-31,0.06666666666666667,485.05,531.775,0.006422018348623848
60,BOSCHLTD,2013-06-04,2013-06-18,0.06666666666666667,9094.95,9050.0,-0.0003294868764167714
61,TATACHEM,2013-06-04,2013-06-18,0.06666666666666667,300.95,299.5,-0.0003212050728249407
62,BAJAJHLDNG,2013-06-04,2013-06-18,0.06666666666666667,916.0,789.95,-0.00917394468704512
63,CYIENT,2013-06-04,2013-06-18,0.06666666666666667,164.35,171.95,0.0030828516377649304
64,ZYDUSLIFE,2013-06-04,2013-06-18,0.06666666666666667,154.6,149.61,-0.0021517895644674345
65,PETRONET,2013-06-04,2013-06-18,0.06666666666666667,70.5,65.5,-0.004728132387706856
66,POWERGRID,2013-06-04,2013-06-18,0.06666666666666667,62.86,61.05,-0.0019196097147099397
67,CUB,2013-06-04,2013-06-18,0.06666666666666667,55.05,55.95,0.0010899182561307972
68,CUMMINSIND,2013-06-04,2013-06-18,0.06666666666666667,450.6,465.0,0.002130492676431421
69,KARURVYSYA,2013-06-04,2013-06-18,0.06666666666666667,90.2,89.79,-0.0003030303030303005
70,TCS,2013-06-04,2013-06-18,0.06666666666666667,730.0,727.5,-0.00022831050228310502
71,TATAPOWER,2013-06-04,2013-06-18,0.06666666666666667,88.0,82.1,-0.004469696969696974
72,BAJAJFINSV,2013-06-04,2013-06-18,0.06666666666666667,67.12,61.575,-0.0055075486690504575
73,ASIANPAINT,2013-06-04,2013-06-18,0.06666666666666667,470.0,455.21,-0.0020978723404255347
74,DRREDDY,2013-06-04,2013-06-18,0.06666666666666667,425.7,429.4,0.0005794377887401125
75,BOSCHLTD,2013-06-18,2013-07-02,0.06666666666666667,9050.0,8989.85,-0.000443093922651931
76,TATACHEM,2013-06-18,2013-07-02,0.06666666666666667,299.5,290.0,-0.0021146355036171394
77,KARURVYSYA,2013-06-18,2013-07-02,0.06666666666666667,89.79,89.33,-0.00034153766195196784
78,PETRONET,2013-06-18,2013-07-02,0.06666666666666667,65.5,63.5,-0.002035623409669211
79,CYIENT,2013-06-18,2013-07-02,0.06666666666666667,171.95,176.15,0.0016283803431230077
80,COFORGE,2013-06-18,2013-07-02,0.06666666666666667,54.81,55.0,0.0002311013805266651
81,ASIANPAINT,2013-06-18,2013-07-02,0.06666666666666667,455.21,468.21,0.0019038831894437002
82,CUB,2013-06-18,2013-07-02,0.06666666666666667,55.95,54.4,-0.0018468871015787955
83,ACC,2013-06-18,2013-07-02,0.06666666666666667,1206.1,1220.0,0.0007683166127739597
84,CUMMINSIND,2013-06-18,2013-07-02,0.06666666666666667,465.0,449.0,-0.0022939068100358423
85,POWERGRID,2013-06-18,2013-07-02,0.06666666666666667,61.05,63.37,0.0025334425334425335
86,GRASIM,2013-06-18,2013-07-02,0.06666666666666667,563.0,558.0,-0.0005920663114268798
87,HDFCBANK,2013-06-18,2013-07-02,0.06666666666666667,334.0,334.35,6.986027944112231e-05
88,TCS,2013-06-18,2013-07-02,0.06666666666666667,727.5,746.55,0.0017457044673539477
89,BAJAJHLDNG,2013-06-18,2013-07-02,0.06666666666666667,789.95,800.05,0.0008523746228664184
90,BOSCHLTD,2013-07-03,2013-07-17,0.06666666666666667,8825.15,8585.0,-0.0018141334708191904
91,KARURVYSYA,2013-07-03,2013-07-17,0.06666666666666667,87.6,85.66,-0.0014764079147640775
92,CYIENT,2013-07-03,2013-07-17,0.06666666666666667,174.4,179.0,0.0017584097859327196
93,CUB,2013-07-03,2013-07-17,0.06666666666666667,54.2,54.0,-0.00024600246002460374
94,CUMMINSIND,2013-07-03,2013-07-17,0.06666666666666667,453.0,466.7,0.002016188373804266
95,TATACHEM,2013-07-03,2013-07-17,0.06666666666666667,282.7,283.2,0.00011791062374719963
96,STAR,2013-07-03,2013-07-17,0.06666666666666667,185.62,170.21,-0.005534604748051573
97,ACC,2013-07-03,2013-07-17,0.06666666666666667,1225.1,1260.0,0.001899164694038587
98,PETRONET,2013-07-03,2013-07-17,0.06666666666666667,62.425,65.5,0.003283940728874653
99,PIDILITIND,2013-07-03,2013-07-17,0.06666666666666667,266.0,288.6,0.005664160401002512
100,CIPLA,2013-07-03,2013-07-17,0.06666666666666667,395.4,402.25,0.0011549485752824183
101,COFORGE,2013-07-03,2013-07-17,0.06666666666666667,54.05,52.31,-0.002146160962072149
102,ASIANPAINT,2013-07-03,2013-07-17,0.06666666666666667,466.0,483.0,0.0024320457796852646
103,GRASIM,2013-07-03,2013-07-17,0.06666666666666667,556.0,560.99,0.0005983213429256606
104,MINDTREE,2013-07-03,2013-07-17,0.06666666666666667,207.0125,227.0,0.006436809371414773
105,BOSCHLTD,2013-07-18,2013-08-01,0.06666666666666667,8580.0,8890.0,0.0024087024087024087
