,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,SETFGOLD,2013-04-02,2013-12-27,0.26315789473684204,2880.0,2820.05,-0.005477887426900567
1,NESTLEIND,2013-04-02,2013-12-27,0.23157894736842102,229.05,268.65,0.040037224692379234
2,TATASTLBSL,2013-04-02,2013-12-27,0.19999999999999998,453.05,482.0,0.012780046352499718
3,BAYERCROP,2013-04-02,2013-12-27,0.16842105263157892,1168.25,1720.0,0.07954317636590941
4,SOLARINDS,2013-04-02,2013-12-27,0.13684210526315788,205.0,180.0,-0.016688061617458276
5,TATASTLBSL,2013-12-31,2014-09-26,0.26315789473684204,486.2,96.6,-0.21087271861265663
6,RAINBOWPAP,2013-12-31,2014-09-26,0.23157894736842102,76.95,82.7,0.01730446975137649
7,SETFGOLD,2013-12-31,2014-09-26,0.19999999999999998,2799.0,2550.0,-0.017792068595927114
8,GOLD1,2013-12-31,2014-09-26,0.16842105263157892,2730.0,2480.05,-0.015420088683246565
9,MARICO,2013-12-31,2014-09-26,0.13684210526315788,110.5,139.0,0.035294117647058816
10,SETFGOLD,2014-09-26,2015-06-22,0.26315789473684204,2550.0,2500.7,-0.005087719298245631
11,ARCOTECH,2014-09-26,2015-06-22,0.23157894736842102,372.1,347.25,-0.015465565283808835
12,FIEMIND,2014-09-26,2015-06-22,0.19999999999999998,321.5,278.0,-0.027060653188180402
13,NESTLEIND,2014-09-26,2015-06-22,0.16842105263157892,305.45,313.8,0.004604078538136152
14,NAVINFLUOR,2014-09-26,2015-06-22,0.13684210526315788,126.0,182.83,0.06172013366750209
15,ARCOTECH,2015-06-23,2016-03-18,0.26315789473684204,350.5,347.05,-0.0025902845558975806
16,ABBOTINDIA,2015-06-23,2016-03-18,0.23157894736842102,3968.95,4712.0,0.043355229177012886
17,TUBEINVEST,2015-06-23,2016-03-18,0.19999999999999998,358.9,375.7,0.009361939258846482
18,SBT,2015-06-23,2016-03-18,0.16842105263157892,439.8,374.1,-0.02515976161413082
19,SOLARINDS,2015-06-23,2016-03-18,0.13684210526315788,764.0,661.2,-0.018412785891430136
20,POLARIS,2016-03-22,2016-12-16,0.26315789473684204,212.1,152.9,-0.07345095411796816
21,HATSUN,2016-03-22,2016-12-16,0.23157894736842102,276.666666666667,345.4,0.05753202282815432
22,SETFGOLD,2016-03-22,2016-12-16,0.19999999999999998,2641.0,2550.0,-0.006891329042029534
23,NESTLEIND,2016-03-22,2016-12-16,0.16842105263157892,262.5,311.17,0.031226867167919805
24,MYSOREBANK,2016-03-22,2016-12-16,0.13684210526315788,370.0,568.0,0.07322901849217638
25,LTIM,2016-12-16,2017-09-11,0.26315789473684204,675.1,775.0,0.0389415992952311
26,INFINITE,2016-12-16,2017-09-11,0.19999999999999998,247.1,207.95,-0.03168757588021044
27,HCG,2016-12-16,2017-09-11,0.16842105263157892,249.5,269.0,0.013163168442147452
28,CIGNITITEC,2016-12-16,2017-09-11,0.13684210526315788,370.0,223.0,-0.05436699857752489
29,GOLD1,2017-09-12,2018-06-08,0.26315789473684204,263.1,273.8,0.010702354517993944
30,INFINITE,2017-09-12,2018-06-08,0.23157894736842102,210.35,442.9,0.2560194162611186
31,HCG,2017-09-12,2018-06-08,0.19999999999999998,267.35,286.35,0.01421357770712549
32,AUTOAXLES,2017-09-12,2018-06-08,0.16842105263157892,768.7,1280.0,0.11202508678356482
33,BAYERCROP,2017-09-12,2018-06-08,0.13684210526315788,4193.95,4692.5,0.01626691581419602
34,GOLD1,2018-06-12,2019-03-08,0.26315789473684204,270.8,285.0,0.013799269221798943
35,SILVERTUC,2018-06-12,2019-03-08,0.23157894736842102,121.05,123.75,0.005165329681080028
36,RATNAMANI,2018-06-12,2019-03-08,0.19999999999999998,679.233333333333,592.633333333333,-0.02549933748834472
37,TFCILTD,2018-06-12,2019-03-08,0.16842105263157892,149.5,116.0,-0.0377398345361732
38,MONSANTO,2018-06-12,2019-03-08,0.13684210526315788,2850.1,2613.05,-0.011381502772755882
39,GOLD1,2019-03-08,2019-12-02,0.26315789473684204,285.0,334.05,0.045290858725761766
40,ICRA,2019-03-08,2019-12-02,0.23157894736842102,2852.65,2849.6,-0.0002475998771225794
41,BAYERCROP,2019-03-08,2019-12-02,0.19999999999999998,4261.5,3716.35,-0.025584887950252263
