,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,GRASIM,2013-04-02,2013-09-30,0.04,562.0,534.8,-0.001935943060498224
1,LUPIN,2013-04-02,2013-09-30,0.04,632.15,855.0,0.014101083603575103
2,HDFCBANK,2013-04-02,2013-09-30,0.04,312.5,303.0,-0.001216
3,ITC,2013-04-02,2013-09-30,0.04,204.4,230.233333333333,0.00505544683626869
4,ICICIBANK,2013-04-02,2013-09-30,0.04,210.54,181.36,-0.005543839650422718
5,SBIN,2013-04-02,2013-09-30,0.04,208.22,161.38,-0.00899817500720392
6,KOTAKBANK,2013-04-02,2013-09-30,0.04,327.475,338.5,0.0013466676845560702
7,M&M,2013-04-02,2013-09-30,0.04,431.0,420.5,-0.0009744779582366589
8,DRREDDY,2013-04-02,2013-09-30,0.04,365.0,479.6,0.012558904109589045
9,TCS,2013-04-02,2013-09-30,0.04,778.0,977.0,0.010231362467866325
10,ASIANPAINT,2013-04-02,2013-09-30,0.04,495.495,470.0,-0.002058143876325695
11,RELIANCE,2013-04-02,2013-09-30,0.04,195.05,208.01,0.0026577800563957915
12,SUNPHARMA,2013-04-02,2013-09-30,0.04,406.125,592.0,0.018307171437365346
13,INDUSINDBK,2013-04-02,2013-09-30,0.04,416.8,372.0,-0.0042994241842610375
14,NTPC,2013-04-02,2013-09-30,0.04,143.2,146.85,0.0010195530726257
15,LT,2013-04-02,2013-09-30,0.04,621.622222222222,540.133333333333,-0.0052436277839345204
16,HDFC,2013-04-02,2013-09-30,0.04,826.35,780.0,-0.00224360137956072
17,HEROMOTOCO,2013-04-02,2013-09-30,0.04,1532.15,2032.0,0.01304963613223248
18,DIVISLAB,2013-04-02,2013-09-30,0.04,499.275,488.575,-0.0008572430023534116
19,AXISBANK,2013-04-02,2013-09-30,0.04,263.98,203.81,-0.009117357375558756
20,BHEL,2013-04-02,2013-09-30,0.04,120.666666666667,93.3333333333333,-0.00906077348066308
21,COALINDIA,2013-04-02,2013-09-30,0.04,305.5,303.8,-0.0002225859247135828
22,ULTRACEMCO,2013-04-02,2013-09-30,0.04,1858.0,1811.0,-0.0010118406889128096
23,ACC,2013-04-02,2013-09-30,0.04,1159.35,1099.7,-0.0020580497692672577
24,VEDL,2013-04-02,2013-09-30,0.04,151.45,182.75,0.008266754704522948
25,RELIANCE,2013-10-01,2014-03-31,0.04,206.57,229.06,0.004354940213971053
26,BAJAJ-AUTO,2013-10-01,2014-03-31,0.04,2000.0,2068.7,0.0013739999999999963
27,CIPLA,2013-10-01,2014-03-31,0.04,432.0,388.2,-0.004055555555555556
28,LT,2013-10-01,2014-03-31,0.04,526.866666666667,860.0,0.025291661394407142
29,DIVISLAB,2013-10-01,2014-03-31,0.04,481.65,680.6,0.016522371016298148
30,ITC,2013-10-01,2014-03-31,0.04,226.9,239.433333333333,0.002209490230644864
31,MARUTI,2013-10-01,2014-03-31,0.04,1364.05,1937.95,0.01682929511381548
32,GRASIM,2013-10-01,2014-03-31,0.04,529.98,572.55,0.003212951432129509
33,DRREDDY,2013-10-01,2014-03-31,0.04,474.59,526.05,0.004337217387639857
34,HDFCBANK,2013-10-01,2014-03-31,0.04,299.4,373.975,0.009963259853039419
35,M&M,2013-10-01,2014-03-31,0.04,417.25,486.15,0.006605152786099459
36,NTPC,2013-10-01,2014-03-31,0.04,147.7,122.0,-0.006960054163845631
