,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,TATASTLBSL,2013-07-02,2014-07-01,0.26315789473684204,462.95,386.6,-0.043400162572973064
1,SETFGOLD,2013-07-02,2014-07-01,0.23157894736842102,2588.95,2665.0,0.006802595240297597
2,FIEMIND,2013-07-02,2014-07-01,0.19999999999999998,95.25,282.5,0.39317585301837266
3,NESTLEIND,2013-07-02,2014-07-01,0.16842105263157892,256.35,246.55,-0.006438565694517165
4,TATASTLBSL,2014-07-01,2015-06-30,0.26315789473684204,386.6,56.2,-0.22490266016826851
5,CAIRN,2014-07-01,2015-06-30,0.23157894736842102,365.05,182.6,-0.11574189548655917
6,NESTLEIND,2014-07-01,2015-06-30,0.19999999999999998,246.55,301.1,0.044250659095518154
7,ABBOTINDIA,2014-07-01,2015-06-30,0.16842105263157892,2170.0,3900.0,0.1342711617754062
8,BAYERCROP,2014-07-01,2015-06-30,0.13684210526315788,1822.0,3907.0,0.15659483505690677
9,SETFGOLD,2015-07-01,2016-06-29,0.26315789473684204,2485.0,2836.5,0.037223340040241436
10,ARCOTECH,2015-07-01,2016-06-29,0.23157894736842102,332.6,363.05,0.02120137987783649
11,NESCO,2015-07-01,2016-06-29,0.19999999999999998,300.51,323.96,0.015606801770323775
12,IDFC,2015-07-01,2016-06-29,0.16842105263157892,63.175965665236,48.45,-0.03925800915331796
13,SOLARINDS,2015-07-01,2016-06-29,0.13684210526315788,749.0,624.0,-0.022837467500527012
14,SETFGOLD,2016-06-30,2017-06-29,0.26315789473684204,2832.95,2615.0,-0.020245773189747324
15,ABBOTINDIA,2016-06-30,2017-06-29,0.23157894736842102,4600.0,4255.0,-0.017368421052631575
16,BAYERCROP,2016-06-30,2017-06-29,0.19999999999999998,3949.95,4586.9,0.03225104115241964
17,CENTENKA,2016-06-30,2017-06-29,0.16842105263157892,228.4,389.95,0.11912618674532212
18,ARCOTECH,2016-06-30,2017-06-29,0.13684210526315788,364.05,97.25,-0.10028697619615581
19,TTKHLTCARE,2017-07-04,2018-07-03,0.26315789473684204,763.8,715.2,-0.016744532186711836
20,NESTLEIND,2017-07-04,2018-07-03,0.23157894736842102,339.75,491.2,0.10323070369079429
21,HEUBACHIND,2017-07-04,2018-07-03,0.19999999999999998,641.85,404.0,-0.07411388953805406
22,ABBOTINDIA,2017-07-04,2018-07-03,0.16842105263157892,4240.0,7135.0,0.11499503475670306
23,VESUVIUS,2017-07-04,2018-07-03,0.13684210526315788,129.6,124.72,-0.005152696556205323
24,SETFGOLD,2018-07-03,2019-07-02,0.26315789473684204,2749.65,3001.5,0.02410354619296043
25,SILVERTUC,2018-07-03,2019-07-02,0.23157894736842102,121.05,125.0,0.007556686014913373
26,RATNAMANI,2018-07-03,2019-07-02,0.19999999999999998,610.0,673.866666666667,0.020939890710382627
27,TATACOMM,2018-07-03,2019-07-02,0.16842105263157892,394.666666666667,319.366666666667,-0.032133712660028416
28,NESTLEIND,2018-07-03,2019-07-02,0.13684210526315788,491.2,593.0,0.028360192010972056
29,GOLD1,2019-07-02,2020-06-30,0.26315789473684204,291.95,426.75,0.12150602572538555
30,SSWL,2019-07-02,2020-06-30,0.23157894736842102,390.0,214.975,-0.10392847503373817
31,BAYERCROP,2019-07-02,2020-06-30,0.19999999999999998,3410.1,5870.0,0.14427142899035217
32,RATNAMANI,2019-07-02,2020-06-30,0.16842105263157892,673.866666666667,696.666666666667,0.005698456667985738
33,ACCELYA,2020-07-01,2021-06-30,0.26315789473684204,924.15,1165.0,0.0685836487013671
34,QGOLDHALF,2020-07-01,2021-06-30,0.23157894736842102,2129.0,2019.0,-0.011965093569998267
35,TIDEWATER,2020-07-01,2021-06-30,0.19999999999999998,816.02,2484.4,0.4089066444449891
36,GOLD1,2020-07-01,2021-06-30,0.16842105263157892,429.1,409.4,-0.007732217983784926
37,SETFGOLD,2020-07-01,2021-06-30,0.13684210526315788,4398.0,4169.0,-0.007125248318613723
38,LOWVOLIETF,2021-07-01,2022-06-30,0.26315789473684204,134.7,129.78,-0.009612003282147435
39,SETFGOLD,2021-07-01,2022-06-30,0.23157894736842102,4166.1,45.34,-0.22905865513499304
40,GOLD1,2021-07-01,2022-06-30,0.19999999999999998,411.75,43.89,-0.17868123861566484
41,BSLGOLDETF,2021-07-01,2022-06-30,0.16842105263157892,4316.0,46.68,-0.1665994829520511
42,GOODYEAR,2021-07-01,2022-06-30,0.13684210526315788,1118.0,1029.9,-0.010783353733170123
43,BBETF0432,2022-07-05,2023-07-04,0.26315789473684204,983.0,1079.99,0.025965090753332972
44,LOWVOLIETF,2022-07-05,2023-07-04,0.23157894736842102,137.87,161.25,0.03927116696506624
45,FMCGIETF,2022-07-05,2023-07-04,0.19999999999999998,407.0,549.98,0.07026044226044226
46,MAXIND,2022-07-05,2023-07-04,0.16842105263157892,76.0,125.95,0.11069252077562326
47,GILLETTE,2022-07-05,2023-07-04,0.13684210526315788,5015.0,5120.0,0.0028650889436952296
48,UTINIFTETF,2023-07-04,2024-07-02,0.26315789473684204,2075.62,264.09,-0.22967519153440008
49,LOWVOLIETF,2023-07-04,2024-07-02,0.23157894736842102,161.25,21.45,-0.20077356181150552
50,MAKEINDIA,2023-07-04,2024-07-02,0.19999999999999998,93.08,152.1,0.12681564245810054
51,HDFCNIFBAN,2023-07-04,2024-07-02,0.16842105263157892,456.24,53.94,-0.14850909493618314
52,AUTOBEES,2023-07-04,2024-07-02,0.13684210526315788,153.0,256.0,0.09212246302029582
53,LIQUID,2024-07-02,2025-07-01,0.26315789473684204,1000.0,999.99,-2.631578947366027e-06
54,LIQUID1,2024-07-02,2025-07-01,0.23157894736842102,1000.01,1057.23,0.013250814860272455
55,ABSLLIQUID,2024-07-02,2025-07-01,0.19999999999999998,999.99,1000.01,4.000040000396366e-06
56,LIQUIDSBI,2024-07-02,2025-07-01,0.16842105263157892,999.99,999.99,0.0
57,BBETF0432,2024-07-02,2025-07-01,0.13684210526315788,1157.4,1277.35,0.014181968659336238
